analysis,sr,o,b,db,s,ds,s95obs,s95exp,robscons,rexpcons,source_folder
atlas_2111_08372,SR1,6382.0,6385.0,81.0,85.36217985396014,1.994503119908947,219.0,224.0,0.3748456380699062,0.3664785479344172,i2hdm_100k_mh320_mhc240
cms_1908_04722,B004_2-3j_0b_350_350,100828.0,100945.0,760.0,186.28927967587703,3.5304406835163373,1543.0,1600.0,0.1169794925177642,0.1128120980968189,i2hdm_100k_mh325_mhc260
cms_2107_13201,A_01,274927.0,274705.0,496.0,164.55343768985884,3.845208994873335,1554.0,1403.0,0.1018322361250106,0.1127920847742456,i2hdm_100k_mh335_mhc240
cms_2107_13201,A_00,504865.0,504396.0,856.0,245.17347005616284,5.017695739714245,2509.0,2131.0,0.0944378035245243,0.1111893238118402,i2hdm_100k_mh320_mhc230
cms_2107_13201,A_02,156727.0,157061.0,338.0,115.05357073708475,3.6902278657333785,798.0,993.0,0.136593479996594,0.1097699869459033,i2hdm_100k_mh325_mhc220
atlas_2102_10874,EM05,29458.0,29200.0,400.0,26.090433960009666,4.025848138005975,1031.0,862.0,0.018902078577769,0.0226079385309511,i2hdm_100k_mh2_mhp_test
atlas_conf_2017_060,IM5,13680.0,12720.0,340.0,12.74537444798482,1.4339673184683437,1520.0,722.0,0.0068379395037478,0.0143956621131533,i2hdm_100k_mh2_mhp_test
cms_sus_19_005,1j_0b_450,14473.0,13910.0,870.0,20.817014360002503,3.5700819688570262,2073.0,1657.0,0.0072175976512672,0.0090296197532148,i2hdm_100k_mh2_mhp_test
