analysis,sr,o,b,db,s,ds,s95obs,s95exp,robscons,rexpcons,source_folder
atlas_2111_08372,SR1,6382.0,6385.0,81.0,84.99406120194038,1.9914590809197537,219.0,224.0,0.3731875265261734,0.3648574478090713,i2hdm_new_mh320_mhc240
cms_2107_13201,A_01,274927.0,274705.0,496.0,170.37230406321274,4.169578878882761,1554.0,1403.0,0.1052343595249968,0.1165603668580506,i2hdm_new_mh320_mhc230
cms_2107_13201,A_00,504865.0,504396.0,856.0,249.04101579623875,5.5024222529807725,2509.0,2131.0,0.0956624325633122,0.1126311793999766,i2hdm_new_mh330_mhc220
cms_1908_04722,B004_2-3j_0b_350_350,100828.0,100945.0,760.0,182.984877880111,3.1150395209345416,1543.0,1600.0,0.1152794640737383,0.1111726331661114,i2hdm_new_mh335_mhc280
cms_2107_13201,A_02,156727.0,157061.0,338.0,101.6679628348443,2.102013714153991,798.0,993.0,0.1230835342652027,0.0989130517055707,i2hdm_new_mh340_mhc300
atlas_2004_10894,Cat12,22.0,16.6,1.7,0.6081476116004978,0.2034194894878237,15.2,9.9,0.0180618190026622,0.0277312776606532,i2hdm_new_mh335_mhc270
atlas_2004_10894,Cat8,4.0,5.2,1.0,0.2458806834999447,0.1162571534973855,5.2,6.3,0.0106190291854293,0.0087649129784495,i2hdm_new_mh330_mhc280
atlas_2004_10894,Cat4,17.0,12.8,1.4,0.1422298777999605,0.0638482541739248,13.1,9.0,0.0028640260270781,0.0041687489949693,i2hdm_new_mh335_mhc310
